HEAD	RELATION	TAIL
Resection and anastomosis of trachea	associated_procedure_of	Trachea resected and anastomosed
Lysis of adhesions of larynx	associated_procedure_of	Laryngeal adhesions divided
Restorative dental procedure on tooth	associated_procedure_of	Tooth restored - fixed bridge
Restoration, crown, single	associated_procedure_of	Tooth restored with crown
Restoration, inlay, metallic	associated_procedure_of	Tooth restored with gold inlay
Drilling and filling of cavity of tooth	associated_procedure_of	Tooth cavity drilled and filled
Drainage of abscess of salivary gland	associated_procedure_of	Salivary gland abscess drained
Excision of lesion of tongue	associated_procedure_of	Tongue benign neoplasm excised
Reduction of dislocation of wrist	associated_procedure_of	Dislocated wrist reduced
Reduction of dislocation of elbow	associated_procedure_of	Dislocated elbow reduced
Exploration of spermatic cord	associated_procedure_of	Spermatic cord explored
Excision of lesion of vas deferens	associated_procedure_of	Unilateral vasectomy for lesion
Drainage of anorectal abscess	associated_procedure_of	Anal abscess drained
Drainage of pelvirectal tissue	associated_procedure_of	Pelvi-rectal tissue drained
Drainage of pseudocyst of pancreas by anastomosis	associated_procedure_of	Pancreatic cyst marsupialized
Removal of calculus from pancreatic duct	associated_procedure_of	Pancreas calculus removed
Revision of anastomosis of intestine	associated_procedure_of	Anastomosis of intestine revised
Incision and removal of foreign body from gallbladder	associated_procedure_of	Cholecystotomy and foreign body removed from gallbladder
Drainage of muscle of hand	associated_procedure_of	Muscle of hand drained
Exploration of muscle of hand	associated_procedure_of	Muscle of hand explored
Irrigation of tendon sheath of hand	associated_procedure_of	Tendon sheath of hand irrigated
Exploration of tendon of hand	associated_procedure_of	Tendon of hand explored
Drainage of tendon sheath of hand	associated_procedure_of	Tendon sheath of hand drained
Drainage of fascia of hand	associated_procedure_of	Fascia of hand drained
Removal of foreign body from facial bone	associated_procedure_of	Facial bone foreign body removed
Incision and exploration of perineum	associated_procedure_of	Perineum incised and explored
Fenton's operation	associated_procedure_of	Introitus enlarged
Removal of extraperitoneal foreign body	associated_procedure_of	Extraperitoneal foreign body removed
Division of female genital system structure	associated_procedure_of	Unilateral fallopian tube division
Reinsertion of internal bone fixation device	associated_procedure_of	Bone internal fixation device reinserted
Recession of tendon of hand	associated_procedure_of	Hand tendon recessed
Advancement of muscle	associated_procedure_of	Muscle advanced
Recession of muscle	associated_procedure_of	Muscle recessed
Recession of tendon	associated_procedure_of	Tendon recessed
Surgery	associated_procedure_of	Operation abandoned before onset
Surgery	associated_procedure_of	Maternal surgical operation
Drainage of fascia	associated_procedure_of	Fascia drained
Injection of gamma globulin	associated_procedure_of	Gamma globulin given
Open tubal occlusion	associated_procedure_of	Open unilateral occlusion of fallopian tube
Home care of patient	associated_procedure_of	Home help organized
First DTP polio and Hib vaccination	associated_procedure_of	1st HiB and DTP vaccine given
Second DTP polio and Hib vaccination	associated_procedure_of	2nd HiB and DTP vaccine given
Third DTP polio and Hib vaccination	associated_procedure_of	3rd HiB and DTP vaccine given
Arthrodesis of interphalangeal joint of toe	associated_procedure_of	History of arthrodesis of interphalangeal joint of toe
Procedure	associated_procedure_of	Mouth swab
General treatment	associated_procedure_of	Treatment given
General treatment	associated_procedure_of	Treatment completed
Recommendation to	associated_procedure_of	Patient advised to see solicitor
Immunization	associated_procedure_of	Contraindication to live immunization
Physical examination assessment	associated_procedure_of	Assessment examination refused
Surgery	associated_procedure_of	Operative procedure planned
Operative procedure on head	associated_procedure_of	Ear, nose and throat operation planned
Surgery	associated_procedure_of	Ear, nose and throat operation planned
Adenoid excision	associated_procedure_of	Adenoidectomy planned
Tonsillectomy	associated_procedure_of	Tonsillectomy planned
Cholecystectomy	associated_procedure_of	Cholecystectomy planned
Varicose vein operation	associated_procedure_of	Varicose vein operation planned
Simple excision of inguinal hernial sac	associated_procedure_of	Herniotomy planned
Operation on heart	associated_procedure_of	Heart operation planned
Operation on urinary system	associated_procedure_of	Renal/urological operation planned
Transplant of kidney	associated_procedure_of	Renal transplant planned
Prostatectomy	associated_procedure_of	Prostatectomy planned
Vasectomy	associated_procedure_of	Vasectomy planned
Operation on female genital organs	associated_procedure_of	Gynecological operation planned
Hysterectomy	associated_procedure_of	Hysterectomy planned
Dilation and curettage	associated_procedure_of	Dilatation and curettage planned
Operation on musculoskeletal system	associated_procedure_of	Orthopedic operation planned
Prosthetic arthroplasty of the hip	associated_procedure_of	Hip replacement planned
Biopsy	associated_procedure_of	Biopsy planned
Excision	associated_procedure_of	Excision planned
Procedure	associated_procedure_of	Patient requested procedure
Vasectomy	associated_procedure_of	Vasectomy requested
Reconstruction of surgically divided vas deferens	associated_procedure_of	Reversal vasectomy requested
Cosmetic surgery	associated_procedure_of	Cosmetic surgery requested
Circumcision	associated_procedure_of	Circumcision requested
Procedure	associated_procedure_of	Diabetic leaflet given
Procedure	associated_procedure_of	Alcohol leaflet given
Procedure	associated_procedure_of	Asthma leaflet given
Procedure	associated_procedure_of	Blood pressure leaflet given
Procedure	associated_procedure_of	Diet leaflet given
Procedure	associated_procedure_of	Practice leaflet sent
Recommendation to	associated_procedure_of	Patient advised about exposure to the sun
Recommendation to	associated_procedure_of	Patient advised about safe drinking - water
Recommendation to	associated_procedure_of	Patient advised about the need for insect repellent
Recommendation to	associated_procedure_of	Patient advised about the risks of HIV
Recommendation to	associated_procedure_of	Patient advised to buy medical kit
Epidural anesthesia	associated_procedure_of	Patient requested epidural
General treatment	associated_procedure_of	Patient requested treatment
Splenectomy	associated_procedure_of	H/O splenectomy
Biopsy	associated_procedure_of	Biopsy specimen not retrieved
Prescription dose change	associated_procedure_of	Reducing dose prescribed
Termination of pregnancy	associated_procedure_of	Requests pregnancy termination
Taking penile swab	associated_procedure_of	Penile swab taken
Total orchidectomy	associated_procedure_of	History of orchiectomy
Recommendation to	associated_procedure_of	Pneumococcal immunization advised in surgery
Home nebulizer therapy	associated_procedure_of	Home nebulizer used since last encounter
Emergency hospital admission for asthma	associated_procedure_of	Emergency asthma admission since last encounter
Extraction of cataract	associated_procedure_of	H/O: R cataract extraction
Extraction of cataract	associated_procedure_of	H/O: L cataract extraction
Vascular surgery procedure	associated_procedure_of	H/O: Peripheral vascular disease procedure
Sampling of cervix for Papanicolaou smear	associated_procedure_of	Sampling of cervix for Papanicolaou smear done
Administration of medication	associated_procedure_of	Drug declined by patient
Administration of medication	associated_procedure_of	Drug declined by patient - dislikes taste
Administration of medication	associated_procedure_of	Drug declined by patient - side effects
Administration of medication	associated_procedure_of	Drug declined by patient - inconvenient
Administration of medication	associated_procedure_of	Drug declined by patient - problem swallowing
Administration of medication	associated_procedure_of	Drug declined by patient - patient beliefs
Administration of medication	associated_procedure_of	Drug declined by patient - alternative therapy
Administration of medication	associated_procedure_of	Medication declined by patient - cannot pay script
Administration of medication	associated_procedure_of	Drug declined by patient - reason unknown
Prescription of therapeutic agent	associated_procedure_of	Prescription issued for patient on vacation
Computerized tomography, bone density study	associated_procedure_of	Computerized bone densimetry requested
Recommendation to	associated_procedure_of	Patient advised to use sunblock
Recommendation to	associated_procedure_of	Patient advised of carers legal rights
Mammography	associated_procedure_of	Mammography not attended
Delivery procedure	associated_procedure_of	Home delivery planned
Cholesterol reduction program	associated_procedure_of	Cholesterol reduction program declined
Child 8 week examination	associated_procedure_of	Child 8 week examination not attended
Child 8 week examination	associated_procedure_of	Child 8 week examination not wanted
Measles-mumps-rubella vaccination	associated_procedure_of	Measles/mumps/rubella vaccine contraindicated
Counseling	associated_procedure_of	Patient counseled
Suture of nose	associated_procedure_of	Suture of nose
Procedure	associated_procedure_of	Blood investigation
Excision of lesion of diaphragm	associated_procedure_of	Diaphragm lesion excised
Excision of lesion of spermatic cord	associated_procedure_of	Spermatic cord lesion excised
Excision of lesion of chest wall	associated_procedure_of	Chest wall lesion excised
Evacuation of hematoma of vulva	associated_procedure_of	Vulval hematoma evacuated
Restricting food intake	associated_procedure_of	Planned food restriction
Recommendation to	associated_procedure_of	Patient advised clear fluids
Aspirin prophylaxis	associated_procedure_of	Aspirin prophylaxis contra-indicated
Recommendation to	associated_procedure_of	Patient advised about driving
Pulmonary ventilation perfusion study	associated_procedure_of	VQ scan requested
Recommendation to	associated_procedure_of	Patient given telephone advice out of hours
Ultrasound phlebography	associated_procedure_of	Duplex scan performed
Procedure on blood vessel	associated_procedure_of	Vascular studies performed
Drainage of retropharyngeal abscess	associated_procedure_of	Retropharyngeal abscess drained
Drainage of peritonsillar abscess	associated_procedure_of	Drainage of peritonsillar abscess
Mammography	associated_procedure_of	Mammogram declined
Pancreatogram	associated_procedure_of	Failed pancreatogram
Biliary contrast radiography	associated_procedure_of	Failed cholangiogram
Prescription of therapeutic agent	associated_procedure_of	Private prescription
Procedure	associated_procedure_of	Refusal of treatment by parents
Diaphragm fit	associated_procedure_of	Diaphragm fit
Excision of ganglion of tendon sheath of hand	associated_procedure_of	Hand tendon ganglion excised
Lysis of adhesions of chest wall	associated_procedure_of	Chest wall adhesions freed
Evaluation procedure	associated_procedure_of	Assessment for pulmonary rehabilitation completed
Assessment of nutritional status	associated_procedure_of	Nutritional assessment completed
Antibiotic prophylaxis	associated_procedure_of	Antibiotic prophylaxis recommended
Antibiotic prophylaxis	associated_procedure_of	Antibiotic prophylaxis not recommended
Evaluation procedure	associated_procedure_of	Quality of life assessment completed
Risk assessment	associated_procedure_of	Osteoporosis risk assessment refused
Risk assessment	associated_procedure_of	Osteoporosis risk assessment defaulted
Bilateral oophorectomy	associated_procedure_of	H/O: bilateral oophorectomy
Radiation therapy procedure or service	associated_procedure_of	Awaiting radiotherapy
Recommendation to	associated_procedure_of	Patient given telephone advice during surgery hours
Plain radiography	associated_procedure_of	Patient requested X-ray
Recommendation to	associated_procedure_of	Falls advice - hip protectors advised
Risk assessment	associated_procedure_of	Osteoporosis risk assessment done
Examination of retina	associated_procedure_of	Retinae not examined
Thrombolytic therapy	associated_procedure_of	Thrombolytic therapy refused
Pneumococcal vaccination	associated_procedure_of	Pneumococcal vaccination contraindicated
Influenza vaccination	associated_procedure_of	Influenza vaccination contraindicated
Pulmonary rehabilitation	associated_procedure_of	Pulmonary rehabilitation program completed
Discussion about preferences	associated_procedure_of	Preferred place of death discussed with partner in relationship
Discussion about preferences	associated_procedure_of	Preferred place of death discussed with patient
Discussion about disorder	associated_procedure_of	Cancer diagnosis discussed with partner in relationship
Discussion about disorder	associated_procedure_of	Cancer diagnosis discussed with patient
Discussion	associated_procedure_of	Cancer care plan discussed with patient
Discussion	associated_procedure_of	Cancer care plan discussed with partner in relationship
Extraction of cataract	associated_procedure_of	H/O: Bilateral cataract extraction
Meningococcus vaccination	associated_procedure_of	Meningitis C immunization refused
Procedure	associated_procedure_of	Chronic obstructive pulmonary disease leaflet given
Administration of medication	associated_procedure_of	Bupropion refused
Prescription of therapeutic agent	associated_procedure_of	Prescription by nurse
Discussion about disorder	associated_procedure_of	Cancer diagnosis discussed
Discussion	associated_procedure_of	Discussed with next of kin
Discussion	associated_procedure_of	Discussed with carer
Discussion	associated_procedure_of	Discussed with patient
Angiotensin II receptor antagonist therapy	associated_procedure_of	Angiotensin II receptor antagonists contraindicated
Prescription of therapeutic agent	associated_procedure_of	Hospital prescription
Drug therapy	associated_procedure_of	Medication stopped - interaction
Drug therapy	associated_procedure_of	Medication stopped - ineffective
Drug therapy	associated_procedure_of	Medication stopped - contra-indication
Drug therapy	associated_procedure_of	Medication stopped - side effect
Review of medication	associated_procedure_of	Medication review done by pharmacist
Hormone replacement therapy	associated_procedure_of	Hormone replacement therapy requested
Counseling	associated_procedure_of	Counseling requested
Prescription of therapeutic agent	associated_procedure_of	Prescription types
Prescription of therapeutic agent	associated_procedure_of	ACBS prescription
Prescription of therapeutic agent	associated_procedure_of	OTC sale
Prescription of therapeutic agent	associated_procedure_of	Personal administration
Prescription of therapeutic agent	associated_procedure_of	Past medication
Discussion	associated_procedure_of	Discussed with consultant
Discussion	associated_procedure_of	Discussed with district nurse
Discussion	associated_procedure_of	Discussed with practice nurse
Discussion	associated_procedure_of	Discussed with doctor
Prescription of therapeutic agent	associated_procedure_of	Prescription by another organization
Urine leukocyte test	associated_procedure_of	Urine leukocyte test not done
Coronary heart disease monitoring administration	associated_procedure_of	Coronary heart disease monitoring refused
Administration of medication	associated_procedure_of	Appropriate medication administered safely during the perioperative period
Aortocoronary artery bypass graft	associated_procedure_of	History of coronary artery bypass grafting
Administration of steroid	associated_procedure_of	H/O: prolonged corticosteroid therapy
Emergency department patient visit	associated_procedure_of	Emergency asthma patient visit since last encounter
Administration of medication	associated_procedure_of	Thrombolytic agent not administered because contraindicated
Counseling	associated_procedure_of	Had a chat to parent
Patient referral to dietitian	associated_procedure_of	Referral to dietician declined
Referral to podiatrist	associated_procedure_of	Referral to chiropodist declined
Angiotensin converting enzyme inhibitor therapy	associated_procedure_of	Angiotensin converting enzyme inhibitor not indicated
Administration of medication	associated_procedure_of	Statin not indicated
Administration of medication	associated_procedure_of	Warfarin not indicated
Administration of aspirin	associated_procedure_of	Aspirin not indicated
Administration of medication	associated_procedure_of	Statin declined
Angiotensin converting enzyme inhibitor therapy	associated_procedure_of	Angiotensin converting enzyme inhibitor declined
Administration of medication	associated_procedure_of	Warfarin declined
Drug therapy	associated_procedure_of	Drug indicated
Drug therapy	associated_procedure_of	Nitrate indicated
Calcium channel blocker therapy	associated_procedure_of	Calcium channel blocker indicated
Lipid-lowering therapy	associated_procedure_of	Lipid lowering therapy indicated
Diuretic therapy	associated_procedure_of	Diuretic indicated
Angiotensin converting enzyme inhibitor therapy	associated_procedure_of	Angiotensin converting enzyme inhibitor indicated
Aspirin therapy	associated_procedure_of	Aspirin indicated
Beta adrenergic receptor blocking agent therapy	associated_procedure_of	Beta blocker indicated
Warfarin therapy	associated_procedure_of	Warfarin indicated
Administration of medication	associated_procedure_of	Nitrate not indicated
Administration of medication	associated_procedure_of	Calcium channel blocker not indicated
Lipid-lowering therapy	associated_procedure_of	Lipid lowering therapy not indicated
Administration of medication	associated_procedure_of	Diuretic not indicated
Administration of medication	associated_procedure_of	Nitrate declined
Administration of medication	associated_procedure_of	Diuretic declined
Lipid-lowering therapy	associated_procedure_of	Lipid lowering therapy contraindicated
Administration of medication	associated_procedure_of	Calcium channel blocker declined
Lipid-lowering therapy	associated_procedure_of	Lipid lowering therapy declined
Assessment of needs	associated_procedure_of	Assessment of needs of carer completed
Notifications	associated_procedure_of	Partially informed of test results
Procedure on cervix	associated_procedure_of	360 degree sweep of cervix performed
Procedure	associated_procedure_of	Saliva sample sent to lab
Specimen collection	associated_procedure_of	Sample obtained
Collection of blood specimen for laboratory	associated_procedure_of	Blood sample taken
Urine specimen collection	associated_procedure_of	Urine sample obtained
Collection of stool specimen	associated_procedure_of	Stool sample obtained
Collection of sample of saliva	associated_procedure_of	Saliva sample obtained
Collection of sputum	associated_procedure_of	Sputum sample obtained
Prescription of therapeutic agent	associated_procedure_of	Nicotine replacement therapy
Prescription of therapeutic agent	associated_procedure_of	Prescription by nurse practitioner
Review of medication	associated_procedure_of	Medication review due
Review of medication	associated_procedure_of	Medication review done
Beta adrenergic receptor blocking agent therapy	associated_procedure_of	Beta blocker contraindicated
Angiotensin converting enzyme inhibitor therapy	associated_procedure_of	Angiotensin converting enzyme inhibitors contraindicated
Administration of medication	associated_procedure_of	Beta blocker therapy refused
Aspirin prophylaxis	associated_procedure_of	Aspirin prophylaxis refused
Administration of medication	associated_procedure_of	Nicotine replacement therapy refused
Administration of medication	associated_procedure_of	Beta blocker not indicated
Influenza vaccination	associated_procedure_of	Influenza vaccination declined
Specimen collection	associated_procedure_of	Anal swab taken
Tendon transplantation	associated_procedure_of	Tendon transplantation
Dispensing of blood product	associated_procedure_of	Whole blood issued
Dispensing of blood product	associated_procedure_of	Autologous whole blood issued
Dispensing of blood product	associated_procedure_of	Red blood cells issued
Dispensing of blood product	associated_procedure_of	Packed red blood cells issued
Dispensing of blood product	associated_procedure_of	Autologous red blood cells issued
Dispensing of blood product	associated_procedure_of	Plasma product issued
Dispensing of blood product	associated_procedure_of	Fresh frozen plasma issued
Dispensing of blood product	associated_procedure_of	Solvent-detergent treated plasma product issued
Dispensing of blood product	associated_procedure_of	Cryo-poor plasma issued
Dispensing of blood product	associated_procedure_of	Cryoprecipitate issued
Dispensing of blood product	associated_procedure_of	Platelet product issued
Dispensing of blood product	associated_procedure_of	Plateletpheresis product issued
Dispensing of blood product	associated_procedure_of	Platelet concentrate issued
Dispensing of blood product	associated_procedure_of	Coagulation factor product issued
Dispensing of blood product	associated_procedure_of	Factor VII issued
Dispensing of blood product	associated_procedure_of	Factor VIII issued
Dispensing of blood product	associated_procedure_of	Factor IX issued
Dispensing of blood product	associated_procedure_of	Albumin issued
Dispensing of blood product	associated_procedure_of	Leukocyte product issued
Dispensing of blood product	associated_procedure_of	Human immune globulin product issued
Dispensing of blood product	associated_procedure_of	Human immune serum globulin, intravenous (IVIg), issued
Dispensing of blood product	associated_procedure_of	Botulism immune globulin, human, issued
Dispensing of blood product	associated_procedure_of	Cytomegalovirus immune globulin issued
Dispensing of blood product	associated_procedure_of	Hepatitis B Virus immune globulin, human, issued
Dispensing of blood product	associated_procedure_of	Rabies immune globulin, human, issued
Dispensing of blood product	associated_procedure_of	Respiratory syncytial virus immune globulin, human, issued
Dispensing of blood product	associated_procedure_of	Rh immune globulin issued
Dispensing of blood product	associated_procedure_of	Tetanus immune globulin, human, issued
Dispensing of blood product	associated_procedure_of	Vaccinia immune globulin, human, issued
Dispensing of blood product	associated_procedure_of	Varicella virus immune globulin issued
Administration of medication	associated_procedure_of	Medication not administered because contraindicated
Administration of medication	associated_procedure_of	Medication administered following procedure
Administration of medication	associated_procedure_of	Thrombolytic agent administered less than 3 hours before percutaneous coronary intervention
Administration of medication	associated_procedure_of	Thrombolytic agent administered between 3 and 6 hours before percutaneous coronary intervention
Administration of medication	associated_procedure_of	Medication administered before lab visit
Administration of medication	associated_procedure_of	Medication administered after lab visit
Administration of medication	associated_procedure_of	Medication not administered
Administration of medication	associated_procedure_of	Medication administered less than 72 hours before percutaneous coronary intervention
Administration of medication	associated_procedure_of	Medication administered after percutaneous coronary intervention
Administration of medication	associated_procedure_of	Medication administered during percutaneous coronary intervention
Administration of medication	associated_procedure_of	Medication administered prior to percutaneous coronary intervention
Administration of medication	associated_procedure_of	Medication administered during lab visit
Administration of medication	associated_procedure_of	Thrombolytic agent administered between 6 hours and 7 days before percutaneous coronary intervention
Procedure	associated_procedure_of	Chemotherapy AND/OR radiation therapy prior to lymphadenectomy
Cell phenotyping	associated_procedure_of	Cell phenotyping performed
Immunophenotyping	associated_procedure_of	Immunophenotypic analysis done
Immunophenotyping	associated_procedure_of	Immunophenotypic analysis not done
Cell phenotyping	associated_procedure_of	Cell phenotyping not performed
Implantation	associated_procedure_of	Failed insertion
Weaning from mechanically assisted ventilation	associated_procedure_of	Weaning from mechanically assisted ventilation not achieved
Laryngeal mask airway insertion	associated_procedure_of	Failed laryngeal mask airway insertion
Prescription of premedication	associated_procedure_of	Premedication prescribed
Intubation	associated_procedure_of	Failed intubation
Guardian interview	associated_procedure_of	Guardian interview performed
Regional anesthesia	associated_procedure_of	Failed regional anesthesia
Prelymphadenectomy treatment	associated_procedure_of	Prelymphadenectomy treatment unknown
Cytogenetic procedure	associated_procedure_of	Cytogenetic study not performed
Cytogenetic procedure	associated_procedure_of	Cytogenetic study performed
Recommendation to	associated_procedure_of	Head injury advice given
Specimen collection	associated_procedure_of	Nail scrapings taken
Echocardiography	associated_procedure_of	Echocardiogram requested
Ultrasonography	associated_procedure_of	Ultrasound scan requested
Angiotensin II receptor antagonist therapy	associated_procedure_of	Angiotensin II receptor antagonist declined
Pneumococcal vaccination	associated_procedure_of	Pneumococcal vaccination declined
Procedure	associated_procedure_of	Measured for graduated compression hosiery
Collection of blood specimen for laboratory	associated_procedure_of	Blood sample taken from central line
Shuttle test	associated_procedure_of	Shuttle walking test done
Shuttle test	associated_procedure_of	Shuttle walking test not done
Exploration of fascia of hand	associated_procedure_of	Fascia of hand explored
Drug therapy	associated_procedure_of	Drug treatment no longer needed
Administration of medication	associated_procedure_of	Medication refused
Magnetic resonance imaging - action	associated_procedure_of	Magnetic resonance imaging scan declined
Angiocardiography	associated_procedure_of	Angiocardiography declined
Prescription of therapeutic agent	associated_procedure_of	Prescription by GP
Exercise tolerance test	associated_procedure_of	Exercise tolerance test refused
Multidisciplinary team falls assessment	associated_procedure_of	Multidisciplinary team falls assessment done
Multidisciplinary team falls assessment	associated_procedure_of	Multidisciplinary team falls assessment declined
Primary health care team falls assessment	associated_procedure_of	Primary health care team falls assessment declined
Primary health care team falls assessment	associated_procedure_of	Primary health care team falls assessment done
Review of medication	associated_procedure_of	Medication review done by doctor
Echocardiography	associated_procedure_of	Echocardiogram declined
Computerized axial tomography of brain	associated_procedure_of	CT scan brain declined
Diagnostic procedure	associated_procedure_of	Diagnostic procedure declined
Carotid artery doppler assessment	associated_procedure_of	Carotid artery doppler declined
Child 7 month exam	associated_procedure_of	Child 7 month examination not attended
Child 7 month exam	associated_procedure_of	Child 7 month examination not wanted
Thrombolytic therapy	associated_procedure_of	Thrombolysis therapy not indicated
Drug therapy	associated_procedure_of	Drug treatment still needed
Medication monitoring	associated_procedure_of	Drug monitoring done
Diabetic retinopathy screening	associated_procedure_of	Diabetic retinopathy screening not indicated
Diabetic foot examination	associated_procedure_of	Diabetic foot examination not indicated
Examination - action	associated_procedure_of	Mental health annual physical examination done
Recommendation to	associated_procedure_of	Advised to attend for retinal screening
Assessment of environmental risk	associated_procedure_of	Environmental risk assessment declined
Administration of medication	associated_procedure_of	Clopidogrel not indicated
Angiotensin II receptor antagonist therapy	associated_procedure_of	Angiotensin II receptor antagonist not indicated
Influenza vaccination	associated_procedure_of	Influenza vaccination not indicated
Administration of medication	associated_procedure_of	Clopidogrel declined
Discussion	associated_procedure_of	Discussion about care plan with family
Discussion	associated_procedure_of	Discussion with family about decision
Legal physical restraint procedure	associated_procedure_of	Legal physical restraint performed
Placing handcuffs for legal restraint	associated_procedure_of	Handcuffs placed for legal restraint
Placing strait jacket for legal restraint	associated_procedure_of	Strait jacket placed for legal restraint
Placing plastic bindings for legal restraint	associated_procedure_of	Plastic bindings placed for legal restraint
Manhandling procedure for physical restraint	associated_procedure_of	Legal restraint performed by manhandling
Percutaneous coronary intervention	associated_procedure_of	History of percutaneous coronary intervention
Administration of aspirin	associated_procedure_of	Aspirin given after arrival in hospital
Administration of aspirin	associated_procedure_of	Aspirin given prior to arrival at hospital
Admission procedure	associated_procedure_of	Planned admission
Recommendation to	associated_procedure_of	Weight gain advised
Obstetrical version	associated_procedure_of	Failed obstetrical version
Active immunization	associated_procedure_of	Vaccination not done
Hepatitis B vaccination	associated_procedure_of	Hepatitis B immunization declined
BCG vaccination	associated_procedure_of	BCG vaccination declined
Administration of medication	associated_procedure_of	Vitamin K prophylaxis declined
Specimen collection	associated_procedure_of	Sample not obtained
Specimen collection	associated_procedure_of	Amniocentesis sample not obtained
Excision of lesion of nose	associated_procedure_of	Excision of lesion of nose
Excision of benign salivary neoplasm	associated_procedure_of	Excision of benign salivary neoplasm
Drug therapy	associated_procedure_of	Drug therapy status
Excision of lesion of vas deferens	associated_procedure_of	Excision of lesion of vas deferens
Coronary angiography	associated_procedure_of	Coronary arteriography declined
Screening for Chlamydia trachomatis	associated_procedure_of	Chlamydia screening declined
Review of medication	associated_procedure_of	Medication review done by nurse
Review of medication	associated_procedure_of	Medication review declined
Diabetic foot examination	associated_procedure_of	Diabetic foot examination declined
Medical termination of pregnancy	associated_procedure_of	H/O: medical termination of pregnancy
Drug therapy	associated_procedure_of	Inappropriate medication stopped
Recommendation to	associated_procedure_of	Recommended thickened fluids
Diabetic retinopathy screening	associated_procedure_of	Diabetic retinopathy screening refused
Blood pressure taking	associated_procedure_of	Blood pressure procedure refused
Assessment of needs	associated_procedure_of	Assessment of needs - review
Compression bandaging	associated_procedure_of	Compression bandaging not indicated
Recommendation to	associated_procedure_of	Patient advised to have pregnancy test
Cannulation	associated_procedure_of	Successful deep cannulation of duct
Cannulation	associated_procedure_of	Successful superficial cannulation of duct
Recommendation to	associated_procedure_of	Patient advised to review package of care
Recommendation to	associated_procedure_of	Patient given verbal advice
Recommendation to	associated_procedure_of	Patient given written advice
Education	associated_procedure_of	Education of caregiver
Antibiotic prophylaxis	associated_procedure_of	Antibiotic prophylaxis indicated
Prescription of therapeutic agent	associated_procedure_of	Anticoagulant prescribed by third party
Anticoagulant therapy	associated_procedure_of	Anticoagulation contraindicated
Anticoagulant therapy	associated_procedure_of	Anticoagulation declined
Anticoagulant therapy	associated_procedure_of	Anticoagulation not indicated
Hematology test	associated_procedure_of	Blood test requested
Sampling of cervix for Papanicolaou smear	associated_procedure_of	Cervical smear not indicated
Recommendation to	associated_procedure_of	Advised risk of deep vein thrombosis in air travel
General treatment	associated_procedure_of	Cancer hospital treatment completed
Cardiac rehabilitation	associated_procedure_of	Cardiac rehabilitation declined
Endoscopic catheterization of pancreatic duct and bile duct systems	associated_procedure_of	ERCP not completed due to anatomical derangements from previous surgery
Administration of sulfonylurea	associated_procedure_of	Administration of sulfonylurea contraindicated
Administration of sulfonylurea	associated_procedure_of	Administration of sulfonylurea not indicated
Increasing dosage of medication	associated_procedure_of	Medication dosage increase declined
Recommendation to	associated_procedure_of	Patient given advice about management of depression
Referral to hospital	associated_procedure_of	Patient requests a hospital referral
Shared care prescribing of drugs	associated_procedure_of	Shared care prescribing declined
Procedure	associated_procedure_of	Epilepsy leaflet given
Discussion about procedure	associated_procedure_of	Transition of diabetes care options discussed
Procedure	associated_procedure_of	Specimen sent to reference laboratory for testing
Spirometry	associated_procedure_of	Spirometry not indicated
Spirometry reversibility	associated_procedure_of	Spirometry reversibility testing contraindicated
Spirometry	associated_procedure_of	Spirometry test declined
Pneumococcal vaccination	associated_procedure_of	Pneumococcal vaccination not indicated
Drug dependence home detoxification	associated_procedure_of	Drug dependence home detoxification contraindicated
Exercise tolerance test	associated_procedure_of	Exercise tolerance test contraindicated
Administration of medication	associated_procedure_of	Oral vitamin K prophylaxis given by community midwife
Administration of medication	associated_procedure_of	Oral vitamin K prophylaxis given in hospital
Administration of medication	associated_procedure_of	Intramuscular vitamin K prophylaxis given in hospital
Reimplantation of ureter	associated_procedure_of	Extravesical unilateral reimplantation of ureter
Procedure	associated_procedure_of	Cervical cytology sample sent to laboratory
Scheduling	associated_procedure_of	Patient transport booked by practice
Case management	associated_procedure_of	Case management ended
Administration of medication	associated_procedure_of	Glitazones not indicated
Dual energy X-ray absorptiometry	associated_procedure_of	DXA scan declined
Administration of medication	associated_procedure_of	Strontium ranelate not indicated
Procedure	associated_procedure_of	Selective estrogen receptor modulator declined
Administration of medication	associated_procedure_of	Bisphosphonates not indicated
Medication administration: oral	associated_procedure_of	Glitazones contraindicated
Antibiotic therapy	associated_procedure_of	Deferred antibiotic therapy
Referral to social services for adult protection	associated_procedure_of	Referred to social services for adult protection
Case management	associated_procedure_of	Case management started
Dual energy X-ray absorptiometry	associated_procedure_of	DXA scan not indicated
Procedure	associated_procedure_of	Cancer home care pack given
Drug therapy	associated_procedure_of	Angiotensin converting enzyme inhibitor target dose not achieved
Insertion of intrauterine contraceptive device	associated_procedure_of	Unsuccessful intrauterine contraceptive device insertion
Administration of medication	associated_procedure_of	Selective estrogen receptor modulator not indicated
Heaf test	associated_procedure_of	Heaf test done
Administration of medication	associated_procedure_of	Combined calcium and vitamin D3 preparation declined
Administration of medication	associated_procedure_of	Strontium ranelate declined
Administration of medication	associated_procedure_of	Combined calcium and vitamin D3 preparation not indicated
Dual energy X-ray absorptiometry	associated_procedure_of	DXA scan contraindicated
Referral to minor ailments clinic	associated_procedure_of	Refused referral to minor ailments clinic
US scan of carotid	associated_procedure_of	Carotid ultrasound not indicated
